epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,736.668,0.61718,0.38206,1.01174,0.92276,0.87949,0.94701,0.78955,0.83202,0.46721,1.1774,7.1785e-05,7.1785e-05,7.1785e-05
59,749.358,0.5944,0.36963,0.99119,0.90534,0.91573,0.94792,0.79203,0.85878,0.46743,1.21184,7.129e-05,7.129e-05,7.129e-05
60,762.061,0.60283,0.37246,0.99898,0.89113,0.91819,0.94377,0.7992,0.8016,0.45674,1.17965,7.0795e-05,7.0795e-05,7.0795e-05
61,774.745,0.59873,0.36579,0.99823,0.91178,0.9049,0.93555,0.79441,0.79504,0.47278,1.15623,7.03e-05,7.03e-05,7.03e-05
62,787.455,0.59466,0.36395,0.9914,0.91648,0.88335,0.92526,0.77015,0.82304,0.49885,1.15924,6.9805e-05,6.9805e-05,6.9805e-05
63,800.146,0.60288,0.37511,0.99875,0.91553,0.93108,0.95401,0.80734,0.80198,0.43863,1.15634,6.931e-05,6.931e-05,6.931e-05
64,812.844,0.58625,0.35302,0.99003,0.91493,0.90278,0.92853,0.78106,0.81192,0.46503,1.17257,6.8815e-05,6.8815e-05,6.8815e-05
65,825.552,0.59191,0.37397,0.99308,0.93148,0.88183,0.95002,0.8089,0.79744,0.44371,1.164,6.832e-05,6.832e-05,6.832e-05
66,838.26,0.58201,0.36382,0.99061,0.93315,0.89208,0.9527,0.81299,0.77796,0.43826,1.14326,6.7825e-05,6.7825e-05,6.7825e-05
67,850.964,0.56679,0.35023,0.97949,0.89653,0.91612,0.94003,0.79971,0.80073,0.47005,1.1661,6.733e-05,6.733e-05,6.733e-05
68,863.655,0.59,0.36559,0.99918,0.89602,0.89699,0.94346,0.79003,0.81491,0.49406,1.1691,6.6835e-05,6.6835e-05,6.6835e-05
69,876.354,0.57429,0.35048,0.99121,0.90766,0.9225,0.94774,0.79973,0.81528,0.45011,1.18162,6.634e-05,6.634e-05,6.634e-05
70,889.067,0.57164,0.35707,0.98126,0.9396,0.92822,0.94709,0.8067,0.83234,0.43767,1.18911,6.5845e-05,6.5845e-05,6.5845e-05
71,901.762,0.57531,0.35845,0.99035,0.90812,0.92949,0.95129,0.80559,0.80559,0.45584,1.19277,6.535e-05,6.535e-05,6.535e-05
72,914.472,0.56111,0.34957,0.98639,0.93946,0.87739,0.94931,0.79228,0.84189,0.45504,1.21596,6.4855e-05,6.4855e-05,6.4855e-05
73,927.159,0.56206,0.35485,0.98413,0.94697,0.90871,0.95899,0.81771,0.80209,0.4446,1.18009,6.436e-05,6.436e-05,6.436e-05
74,939.845,0.56387,0.34469,0.98181,0.92301,0.88785,0.94578,0.81249,0.79249,0.45772,1.16466,6.3865e-05,6.3865e-05,6.3865e-05
75,952.561,0.55425,0.32926,0.98169,0.8956,0.9316,0.94552,0.80029,0.80004,0.46366,1.16222,6.337e-05,6.337e-05,6.337e-05
76,965.26,0.55719,0.34293,0.99105,0.90061,0.95165,0.96255,0.8129,0.80875,0.43814,1.16771,6.2875e-05,6.2875e-05,6.2875e-05
77,977.966,0.54132,0.33653,0.96801,0.9224,0.88368,0.93635,0.79405,0.81621,0.47187,1.18018,6.238e-05,6.238e-05,6.238e-05
78,990.689,0.54024,0.32491,0.97315,0.92567,0.91946,0.94127,0.7947,0.82662,0.45107,1.19693,6.1885e-05,6.1885e-05,6.1885e-05
79,1003.4,0.52896,0.32525,0.9672,0.92048,0.91658,0.95182,0.79405,0.82814,0.44526,1.19427,6.139e-05,6.139e-05,6.139e-05
80,1016.1,0.54208,0.34576,0.97251,0.9061,0.91458,0.94019,0.79788,0.80128,0.45309,1.17432,6.0895e-05,6.0895e-05,6.0895e-05
81,1028.78,0.52784,0.32837,0.96247,0.88588,0.91237,0.94857,0.80171,0.8131,0.45082,1.18592,6.04e-05,6.04e-05,6.04e-05
82,1041.48,0.52997,0.32252,0.96665,0.94363,0.90926,0.94592,0.79356,0.81211,0.43688,1.19361,5.9905e-05,5.9905e-05,5.9905e-05
83,1054.19,0.52591,0.33661,0.9655,0.93542,0.88291,0.94387,0.79581,0.82422,0.45207,1.20822,5.941e-05,5.941e-05,5.941e-05
