epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,713.604,0.82231,0.53712,1.10645,0.90919,0.88209,0.94781,0.77843,0.83373,0.45845,1.13681,0.000797531,0.000797531,0.000797531
59,725.897,0.79144,0.52356,1.0806,0.92538,0.85918,0.93135,0.76693,0.81516,0.46942,1.13308,0.000792032,0.000792032,0.000792032
60,738.235,0.78987,0.52203,1.08475,0.89112,0.8823,0.95627,0.79753,0.78803,0.439,1.10769,0.000786532,0.000786532,0.000786532
61,750.647,0.79636,0.54862,1.09811,0.94787,0.91978,0.95465,0.80076,0.79933,0.45281,1.12162,0.000781033,0.000781033,0.000781033
62,762.995,0.78964,0.54539,1.08596,0.94888,0.88495,0.95312,0.79885,0.82444,0.43993,1.13648,0.000775534,0.000775534,0.000775534
63,775.294,0.80303,0.53483,1.08735,0.90101,0.89317,0.94871,0.79166,0.81228,0.48265,1.1328,0.000770034,0.000770034,0.000770034
64,787.656,0.81069,0.52596,1.0948,0.87796,0.8597,0.91016,0.74717,0.80865,0.6134,1.12477,0.000764535,0.000764535,0.000764535
65,799.984,0.78338,0.5114,1.08366,0.93805,0.92053,0.95025,0.79362,0.82438,0.45569,1.13888,0.000759035,0.000759035,0.000759035
66,812.313,0.76959,0.50052,1.06445,0.91926,0.9049,0.94297,0.77498,0.84069,0.4685,1.15341,0.000753536,0.000753536,0.000753536
67,824.62,0.78497,0.5153,1.08495,0.91049,0.89051,0.94935,0.78825,0.80719,0.4521,1.13534,0.000748036,0.000748036,0.000748036
68,836.956,0.796,0.51606,1.09387,0.96059,0.92576,0.95721,0.80054,0.80676,0.44375,1.13089,0.000742537,0.000742537,0.000742537
